"Source:","C:\Users\sirli\Desktop\enel320\VCA\VCA.kicad_sch"
"Date:","25/09/2023 11:24:44 PM"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","31"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","2","C1, C2","100n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"2","2","CV_AMOUNT1, GAIN1","50k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical","https://www.bourns.com/docs/Product-Datasheets/PTV09.pdf",""
"3","3","J1, J2, J3","Conn_01x02_Socket","Connector:Conn_01x02_Socket","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~",""
"4","2","J4, J5","Conn_01x03_Female","Connector:Conn_01x03_Female","Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical","~",""
"5","1","LEVEL1","100k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical","~",""
"6","1","OFFSET1","1k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical","~",""
"7","3","Q1, Q2, Q3","BC547","Transistor_BJT:BC547","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/BC550-D.pdf",""
"8","3","R1, R14, R15","220k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"9","2","R2, R3","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"10","1","R4","1K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"11","1","R5","47k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"12","3","R6, R7, R9","22k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"13","5","R8, R10, R11, R12, R13","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"14","1","R16","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~",""
"15","1","U1","TL072","Amplifier_Operational:TL072","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/tl071.pdf",""
